what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.1.v200911141735,"org.eclipse.wst.common.project.facet.core",1318122619593
started,bundle,org.eclipse.wst.web,1.1.301.v200911302230,"org.eclipse.wst.web",1318122619640
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.102.v200903070248,"org.eclipse.wst.ws.service.policy.ui",1318122619671
started,bundle,org.eclipse.mylyn.monitor.ui,3.3.2.v20100222-0100-e3x,"org.eclipse.mylyn.monitor.ui",1318122619671
os,sysinfo,,,"win32",1318122619687
arch,sysinfo,,,"x86",1318122619687
ws,sysinfo,,,"win32",1318122619687
locale,sysinfo,,,"zh_CN",1318122619687
processors,sysinfo,,,"1",1318122619687
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1318122619687
java.runtime.version,sysinfo,,,"1.6.0_10-rc2-b32",1318122619687
java.specification.name,sysinfo,,,"Java Platform API Specification",1318122619687
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1318122619687
java.specification.version,sysinfo,,,"1.6",1318122619687
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1318122619687
java.version,sysinfo,,,"1.6.0_10-rc2",1318122619687
java.vm.info,sysinfo,,,"mixed mode, sharing",1318122619687
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1318122619687
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1318122619687
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1318122619687
java.vm.specification.version,sysinfo,,,"1.0",1318122619687
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1318122619687
java.vm.version,sysinfo,,,"11.0-b15",1318122619687
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.201.R35x_v20090925-1100,"org.eclipse.jdt.apt.pluggable.core",1318122619750
started,bundle,org.eclipse.mylyn.commons.net,3.3.0.v20091013-0200-e3x,"org.eclipse.mylyn.commons.net",1318122619859
opened,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1318122619937
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1318122620031
started,bundle,org.eclipse.core.variables,3.2.200.v20090521,"org.eclipse.core.variables",1318122620593
started,bundle,org.eclipse.jst.common.project.facet.core,1.4.1.v200911141836,"org.eclipse.jst.common.project.facet.core",1318122620593
started,bundle,org.eclipse.mylyn.commons.ui,3.3.2.v20100222-0100-e3x,"org.eclipse.mylyn.commons.ui",1318122620656
started,bundle,org.eclipse.mylyn.bugzilla.core,3.3.2.v20100222-0100-e3x,"org.eclipse.mylyn.bugzilla.core",1318122622015
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1318122622093
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.3.2.v20100222-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1318122622312
started,bundle,org.eclipse.ui.forms,3.4.1.v20090714_35x,"org.eclipse.ui.forms",1318122622781
started,bundle,org.eclipse.mylyn.context.core,3.3.2.v20100222-0100-e3x,"org.eclipse.mylyn.context.core",1318122622921
started,bundle,org.eclipse.mylyn.context.ui,3.3.2.v20100222-0100-e3x,"org.eclipse.mylyn.context.ui",1318122622968
started,bundle,org.eclipse.mylyn.tasks.ui,3.3.2.v20100222-0100-e3x,"org.eclipse.mylyn.tasks.ui",1318122623156
started,bundle,org.eclipse.mylyn.team.ui,3.3.2.v20100222-0100-e3x,"org.eclipse.mylyn.team.ui",1318122623171
started,bundle,org.eclipse.jsch.core,1.1.100.I20090430-0408,"org.eclipse.jsch.core",1318122623718
started,bundle,org.eclipse.team.cvs.core,3.3.200.I20090430-0408,"org.eclipse.team.cvs.core",1318122623781
started,bundle,org.eclipse.team.ui,3.5.0.I20090430-0408,"org.eclipse.team.ui",1318122623859
started,bundle,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console",1318122623921
started,bundle,org.eclipse.team.cvs.ui,3.3.202.r35x_20090930-0800,"org.eclipse.team.cvs.ui",1318122624187
opened,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1318122626015
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1318122626140
opened,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1318122627437
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1318122627484
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1318122628343
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1318122647953
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1318122880593
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1318122884687
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1318123410796
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1318123419187
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1318123675687
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1318123679703
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1318123698078
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1318123699781
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1318123711593
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1318123712765
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1318123717343
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1318123786390
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1318123787093
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1318123789640
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1318123829812
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1318123829812
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1318123829890
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1318123858703
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1318123860031
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1318123903906
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1318123908406
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1318123974265
